source_id,case_id,source_role,url,brontype_hint,wp_hint,unit_hint,scope_hint,expected_usable,verification_status,rejection_reason,notes
src-001,legacy-v001,candidate_seed,https://www.mondriaan.eu,officiele_website,,,,,pending_review,,Startpunt; zoek actuele onderliggende bron
src-002,legacy-v002,candidate_seed,https://www.okechamp.nl,officiele_website,,,,,pending_review,,Startpunt; zoek actuele onderliggende bron
src-003,legacy-v003,candidate_seed,https://www.jumbo.com,officiele_website,,,,,pending_review,,Controleer filiaalniveau
src-004,legacy-v004,candidate_seed,https://www.pergamijn.org,officiele_website,,,,,pending_review,,Controleer locatiescope
src-005,legacy-v005,candidate_seed,https://www.ns.nl,officiele_website,,,,,pending_review,,Controleer stationsscope
src-006,legacy-v006,candidate_seed,https://www.vrln.nl,officiele_website,,,,,pending_review,,Zoek jaarstukken en personeelsparagraaf
src-007,legacy-v007,candidate_seed,https://www.zuyderland.nl,officiele_website,,,,,pending_review,,Combineer niet blind met DigiMV-entiteiten
src-008,legacy-v008,candidate_seed,https://www.dsm-firmenich.com,officiele_website,,,,,pending_review,,Controleer Limburgse scope
src-009,legacy-v009,candidate_seed,https://www.bam.com,officiele_website,,,,,pending_review,,Controleer vestigingsidentiteit
src-010,legacy-v010,candidate_seed,https://www.halluxpodotherapie.nl,officiele_website,,,,,pending_review,,Team- en afspraakroute controleren
src-011,legacy-v011,candidate_seed,https://www.salonhandmade.nl,officiele_website,,,,,pending_review,,Team- en boekingsroute controleren
src-012,legacy-v012,candidate_seed,https://www.orthodontieaandemaas.nl,officiele_website,,,,,pending_review,,Teamfoto's en onderste paginadelen controleren
src-013,legacy-v013,candidate_seed,https://www.huisartsenpraktijkhoensbroek.nl,officiele_website,,,,,pending_review,,Adres en telefoon onafhankelijk bevestigen
src-014,legacy-v014,candidate_seed,https://www.verloskundigenlimburg.nl,officiele_website,,,,,pending_review,,Verdeling over locaties controleren
src-015,legacy-v015,candidate_seed,https://www.dreessenadvocaten.nl,officiele_website,,,,,pending_review,,Partners en medewerkers apart beoordelen
src-016,legacy-v016,candidate_seed,https://www.fysiosittard.nl,officiele_website,,,,,pending_review,,Zelfstandigen niet automatisch meetellen
src-017,legacy-v017,candidate_seed,https://www.philipse-accountancy.nl,officiele_website,,,,,pending_review,,Klein team handmatig tellen
src-018,legacy-v018,candidate_seed,https://www.maasstreek.nl,officiele_website,,,,,pending_review,,Aangesloten makelaars beoordelen
src-019,legacy-v019,candidate_seed,https://www.poulissen.nl,officiele_website,,,,,pending_review,,Vestiging versus groep controleren
src-020,legacy-v020,candidate_seed,https://www.ikea.com/nl,officiele_website,,,,,pending_review,,Zoek vestigingsspecifiek nieuws
src-021,edu-po-enkel,official_candidate,https://duo.nl/open_onderwijsdata/primair-onderwijs/personeel/onderwijspersoneel-po-in-aantal-personen.jsp,duo_personeel,29,onderwijspersoneel_personen,vestiging,,pending_review,,Officiële DUO-bron; definitie bevestigen
src-022,edu-po-enkel,identity_candidate,https://www.duo.nl/open_onderwijsdata/images/02.-alle-schoolvestigingen-basisonderwijs.csv,duo_adressen,,,,,pending_review,,Identiteit via instellingscode 03HL
src-023,edu-vo-enkel,official_candidate,https://duo.nl/open_onderwijsdata/voortgezet-onderwijs/personeel/in-aantal-personen.jsp,duo_personeel,35,onderwijspersoneel_personen,vestiging,,pending_review,,Officiële DUO-bron; definitie bevestigen
src-024,edu-vo-enkel,identity_candidate,https://duo.nl/open_onderwijsdata/images/02.-alle-vestigingen-vo.csv,duo_adressen,,,,,pending_review,,Identiteit via instellingscode 23HH
src-025,edu-vo-meervestiging,official_candidate,https://duo.nl/open_onderwijsdata/voortgezet-onderwijs/personeel/in-aantal-personen.jsp,duo_personeel,338,onderwijspersoneel_personen,limburg,,pending_review,,Instellingscijfer voor meerdere vestigingen
src-026,edu-vo-meervestiging,identity_candidate,https://duo.nl/open_onderwijsdata/images/02.-alle-vestigingen-vo.csv,duo_adressen,,,,,pending_review,,Identiteit via instellingscode 03XF
